2023-03-30 14:01:25,[]
2023-03-30 14:01:26,[]
2023-03-30 14:01:26,[]
2023-03-30 14:01:27,[]
2023-03-30 14:01:28,[]
2023-03-30 14:01:29,[]
2023-03-30 14:01:29,[]
2023-03-30 14:01:30,[]
2023-03-30 14:01:31,[]
2023-03-30 14:01:31,[]
2023-03-30 14:01:32,[]
2023-03-30 14:01:33,[          1]
2023-03-30 14:01:34,[          1]
2023-03-30 14:01:34,[]
2023-03-30 14:01:35,[]
2023-03-30 14:01:36,[          0]
2023-03-30 14:01:36,[          0]
2023-03-30 14:01:37,[]
2023-03-30 14:01:38,[]
2023-03-30 14:01:38,[          3]
2023-03-30 14:03:14,[]
2023-03-30 14:03:15,[]
2023-03-30 14:03:15,[]
2023-03-30 14:03:16,[]
2023-03-30 14:03:17,[]
2023-03-30 14:03:18,[]
2023-03-30 14:03:18,[]
2023-03-30 14:03:19,[]
2023-03-30 14:03:20,[]
2023-03-30 14:03:20,[]
2023-03-30 14:03:21,[]
2023-03-30 14:03:22,[]
2023-03-30 14:03:23,[]
2023-03-30 14:03:23,[]
2023-03-30 14:03:24,[]
2023-03-30 14:03:25,[]
2023-03-30 14:03:26,[]
2023-03-30 14:03:26,[]
2023-03-30 14:03:27,[]
2023-03-30 14:03:28,[          0]
2023-03-30 14:03:29,[          0]
2023-03-30 14:03:29,[          0]
2023-03-30 14:03:30,[]
2023-03-30 14:03:31,[]
2023-03-30 14:03:32,[          1]
2023-03-30 14:03:32,[]
2023-03-30 14:03:33,[]
2023-03-30 14:03:34,[          1]
2023-03-30 14:03:34,[          1]
2023-03-30 14:03:35,[          1]
2023-03-30 14:03:36,[]
2023-03-30 14:03:37,[]
2023-03-30 14:03:37,[]
2023-03-30 14:03:38,[]
2023-03-30 14:03:39,[]
2023-03-30 14:03:40,[]
2023-03-30 14:03:40,[]
2023-03-30 14:03:41,[]
2023-03-30 14:03:42,[]
2023-03-30 14:03:43,[]
2023-03-30 14:03:44,[]
2023-03-30 14:03:44,[]
2023-03-30 14:03:45,[]
2023-03-30 14:03:46,[]
2023-03-30 14:03:47,[]
2023-03-30 14:03:47,[]
